periodo,ano,mes,estado,regiao,bioma,cidade,precipitacao_mm_total,precipitacao_dias_sem_chuva,temp_max_media,temp_min_media,registros_diarios,media_hist_mm,anomalia_pct,evento_climatico
201808,2018,8,AL,Nordeste,Mata Atlântica,Maceió,69.7,3,26.125806451612902,22.993548387096773,31,123.98181818181818,-43.78,seca_moderada
201809,2018,9,AL,Nordeste,Mata Atlântica,Maceió,69.5,2,26.206666666666667,23.116666666666667,30,79.89090909090909,-13.01,normal
201810,2018,10,AL,Nordeste,Mata Atlântica,Maceió,42.3,3,27.616129032258065,23.68387096774193,31,53.16363636363636,-20.43,normal
201811,2018,11,AL,Nordeste,Mata Atlântica,Maceió,84.5,0,27.88,24.40333333333333,30,54.25454545454545,55.75,chuva_intensa
201812,2018,12,AL,Nordeste,Mata Atlântica,Maceió,52.3,2,28.35483870967742,24.496774193548383,31,57.2,-8.57,normal
201901,2019,1,AL,Nordeste,Mata Atlântica,Maceió,106.3,0,27.925806451612903,24.72903225806452,31,67.04166666666667,58.56,chuva_intensa
201902,2019,2,AL,Nordeste,Mata Atlântica,Maceió,84.5,0,28.767857142857142,25.09642857142857,28,66.83333333333333,26.43,normal
201903,2019,3,AL,Nordeste,Mata Atlântica,Maceió,129.0,4,29.238709677419354,25.10322580645161,31,122.56666666666666,5.25,normal
201904,2019,4,AL,Nordeste,Mata Atlântica,Maceió,113.5,0,28.51,25.086666666666662,30,110.84166666666665,2.4,normal
201905,2019,5,AL,Nordeste,Mata Atlântica,Maceió,75.7,3,28.116129032258065,24.541935483870965,31,211.17499999999998,-64.15,seca_severa
201906,2019,6,AL,Nordeste,Mata Atlântica,Maceió,183.9,0,26.796666666666667,23.586666666666662,30,185.45000000000002,-0.84,normal
201907,2019,7,AL,Nordeste,Mata Atlântica,Maceió,171.3,2,25.86774193548387,22.725806451612904,31,157.39090909090908,8.84,normal
201908,2019,8,AL,Nordeste,Mata Atlântica,Maceió,113.6,0,25.864516129032257,22.864516129032257,31,123.98181818181818,-8.37,normal
201909,2019,9,AL,Nordeste,Mata Atlântica,Maceió,79.9,0,26.28333333333333,23.17,30,79.89090909090909,0.01,normal
201910,2019,10,AL,Nordeste,Mata Atlântica,Maceió,69.2,3,27.19677419354839,23.532258064516128,31,53.16363636363636,30.16,normal
201911,2019,11,AL,Nordeste,Mata Atlântica,Maceió,39.9,5,28.486666666666668,24.363333333333333,30,54.25454545454545,-26.46,normal
