id_produto,produto,regiao,lag,r_pearson,p_valor,n_amostras,significativo
oleos,IPCA - Oleos e gorduras,Nordeste,0,0.1714,0.0549,126,False
oleos,IPCA - Oleos e gorduras,Nordeste,1,-0.0492,0.5861,125,False
oleos,IPCA - Oleos e gorduras,Nordeste,2,-0.2858,0.0013,124,True
oleos,IPCA - Oleos e gorduras,Nordeste,3,-0.3485,0.0001,123,True
oleos,IPCA - Oleos e gorduras,Nordeste,6,-0.1288,0.161,120,False
oleos,IPCA - Oleos e gorduras,Sul,0,0.1118,0.2127,126,False
oleos,IPCA - Oleos e gorduras,Sul,1,0.0256,0.7766,125,False
oleos,IPCA - Oleos e gorduras,Sul,2,0.0413,0.6488,124,False
oleos,IPCA - Oleos e gorduras,Sul,3,0.0256,0.7784,123,False
oleos,IPCA - Oleos e gorduras,Sul,6,-0.0926,0.3145,120,False
panificados,IPCA - Panificados,Nordeste,0,-0.0805,0.372,125,False
panificados,IPCA - Panificados,Nordeste,1,-0.2411,0.007,124,True
panificados,IPCA - Panificados,Nordeste,2,-0.3852,0.0,123,True
panificados,IPCA - Panificados,Nordeste,3,-0.3488,0.0001,122,True
panificados,IPCA - Panificados,Nordeste,6,0.1692,0.0658,119,False
panificados,IPCA - Panificados,Sul,0,0.0865,0.3374,125,False
panificados,IPCA - Panificados,Sul,1,0.1377,0.1273,124,False
panificados,IPCA - Panificados,Sul,2,0.0252,0.7824,123,False
panificados,IPCA - Panificados,Sul,3,0.0209,0.8197,122,False
panificados,IPCA - Panificados,Sul,6,-0.1419,0.1237,119,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,0,0.0074,0.9349,126,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,1,-0.0679,0.4521,125,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,2,-0.1343,0.1369,124,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,3,-0.1469,0.1048,123,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Nordeste,6,0.0664,0.471,120,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Sul,0,-0.0105,0.9069,126,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Sul,1,0.0468,0.6041,125,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Sul,2,0.0975,0.2813,124,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Sul,3,-0.0163,0.8583,123,False
tuberculos,"IPCA - Tuberculos, raizes e legumes",Sul,6,0.0285,0.7574,120,False
