periodo,ano,mes,capital,estado,regiao,cod_bcb,variacao_mensal_pct
201608,2016,8,Florianopolis,SC,Sul,10841,0.39
201609,2016,9,Florianopolis,SC,Sul,10841,-0.47
201610,2016,10,Florianopolis,SC,Sul,10841,-0.14
201611,2016,11,Florianopolis,SC,Sul,10841,-0.06
201612,2016,12,Florianopolis,SC,Sul,10841,0.32
201701,2017,1,Florianopolis,SC,Sul,10841,0.32
201702,2017,2,Florianopolis,SC,Sul,10841,-0.47
201703,2017,3,Florianopolis,SC,Sul,10841,0.18
201704,2017,4,Florianopolis,SC,Sul,10841,0.34
201705,2017,5,Florianopolis,SC,Sul,10841,-0.44
201706,2017,6,Florianopolis,SC,Sul,10841,-0.81
201707,2017,7,Florianopolis,SC,Sul,10841,-0.54
201708,2017,8,Florianopolis,SC,Sul,10841,-1.11
201709,2017,9,Florianopolis,SC,Sul,10841,-0.37
201710,2017,10,Florianopolis,SC,Sul,10841,0.01
201711,2017,11,Florianopolis,SC,Sul,10841,-0.29
201712,2017,12,Florianopolis,SC,Sul,10841,0.48
201801,2018,1,Florianopolis,SC,Sul,10841,0.9
201802,2018,2,Florianopolis,SC,Sul,10841,-0.32
201803,2018,3,Florianopolis,SC,Sul,10841,-0.07
201804,2018,4,Florianopolis,SC,Sul,10841,0.12
201805,2018,5,Florianopolis,SC,Sul,10841,0.19
201806,2018,6,Florianopolis,SC,Sul,10841,2.29
201807,2018,7,Florianopolis,SC,Sul,10841,-0.56
201808,2018,8,Florianopolis,SC,Sul,10841,-0.46
201809,2018,9,Florianopolis,SC,Sul,10841,0.36
201810,2018,10,Florianopolis,SC,Sul,10841,0.81
201811,2018,11,Florianopolis,SC,Sul,10841,-0.28
201812,2018,12,Florianopolis,SC,Sul,10841,0.32
201901,2019,1,Florianopolis,SC,Sul,10841,0.64
201902,2019,2,Florianopolis,SC,Sul,10841,0.9
201903,2019,3,Florianopolis,SC,Sul,10841,1.74
201904,2019,4,Florianopolis,SC,Sul,10841,0.78
201905,2019,5,Florianopolis,SC,Sul,10841,-0.6
201906,2019,6,Florianopolis,SC,Sul,10841,-0.28
201907,2019,7,Florianopolis,SC,Sul,10841,-0.32
201908,2019,8,Florianopolis,SC,Sul,10841,-0.51
201909,2019,9,Florianopolis,SC,Sul,10841,-0.3
201910,2019,10,Florianopolis,SC,Sul,10841,0.19
201911,2019,11,Florianopolis,SC,Sul,10841,0.82
201912,2019,12,Florianopolis,SC,Sul,10841,3.55
202001,2020,1,Florianopolis,SC,Sul,10841,-0.14
202002,2020,2,Florianopolis,SC,Sul,10841,0.46
202003,2020,3,Florianopolis,SC,Sul,10841,0.9
202004,2020,4,Florianopolis,SC,Sul,10841,1.05
202005,2020,5,Florianopolis,SC,Sul,10841,0.11
202006,2020,6,Florianopolis,SC,Sul,10841,0.34
202007,2020,7,Florianopolis,SC,Sul,10841,0.23
202008,2020,8,Florianopolis,SC,Sul,10841,1.11
202009,2020,9,Florianopolis,SC,Sul,10841,2.17
202010,2020,10,Florianopolis,SC,Sul,10841,2.03
202011,2020,11,Florianopolis,SC,Sul,10841,2.51
202012,2020,12,Florianopolis,SC,Sul,10841,1.75
202101,2021,1,Florianopolis,SC,Sul,10841,0.88
202102,2021,2,Florianopolis,SC,Sul,10841,0.71
202103,2021,3,Florianopolis,SC,Sul,10841,0.32
