periodo,ano,mes,estado,cidade,precipitacao_total_mm,precip_max_dia_mm,dias_com_chuva,dias_extremo_leve,dias_extremo_moderado,dias_extremo_severo,dias_consecutivos_max,indice_enchente,risco_enchente
201712,2017,12,PR,Curitiba,169.9,26.9,20,0,0,0,6,15.0,ALTO
201712,2017,12,PR,Londrina,191.4,34.8,15,1,0,0,12,35.0,CRITICO
201801,2018,1,PR,Curitiba,229.3,32.3,25,1,0,0,19,52.5,CRITICO
201801,2018,1,PR,Londrina,187.8,25.7,20,0,0,0,12,30.0,CRITICO
201802,2018,2,PR,Curitiba,93.6,34.9,15,1,0,0,8,25.0,CRITICO
201802,2018,2,PR,Londrina,104.8,23.8,10,0,0,0,5,12.5,ALTO
201803,2018,3,PR,Curitiba,144.4,17.0,24,0,0,0,8,20.0,CRITICO
201803,2018,3,PR,Londrina,128.7,16.8,25,0,0,0,10,25.0,CRITICO
201804,2018,4,PR,Curitiba,15.0,3.4,6,0,0,0,3,7.5,MODERADO
201804,2018,4,PR,Londrina,9.9,3.1,3,0,0,0,3,7.5,MODERADO
201805,2018,5,PR,Curitiba,27.3,14.7,5,0,0,0,1,2.5,BAIXO
201805,2018,5,PR,Londrina,24.1,15.8,3,0,0,0,2,5.0,MODERADO
201806,2018,6,PR,Curitiba,89.7,14.6,13,0,0,0,5,12.5,ALTO
201806,2018,6,PR,Londrina,59.7,35.8,9,1,0,0,4,15.0,ALTO
201807,2018,7,PR,Curitiba,15.7,4.7,5,0,0,0,3,7.5,MODERADO
201807,2018,7,PR,Londrina,10.4,9.3,1,0,0,0,1,2.5,BAIXO
201808,2018,8,PR,Curitiba,39.3,16.4,9,0,0,0,3,7.5,MODERADO
201808,2018,8,PR,Londrina,162.9,96.6,11,1,1,1,6,50.0,CRITICO
201809,2018,9,PR,Curitiba,85.6,22.6,11,0,0,0,3,7.5,MODERADO
201809,2018,9,PR,Londrina,110.4,45.8,10,1,0,0,5,17.5,ALTO
201810,2018,10,PR,Curitiba,197.3,20.3,20,0,0,0,7,17.5,ALTO
201810,2018,10,PR,Londrina,148.2,28.6,19,0,0,0,7,17.5,ALTO
201811,2018,11,PR,Curitiba,77.3,14.4,14,0,0,0,4,10.0,ALTO
201811,2018,11,PR,Londrina,67.2,27.3,7,0,0,0,2,5.0,MODERADO
201812,2018,12,PR,Curitiba,116.1,20.1,19,0,0,0,8,20.0,CRITICO
201812,2018,12,PR,Londrina,72.6,16.3,12,0,0,0,5,12.5,ALTO
201901,2019,1,PR,Curitiba,158.3,36.5,24,1,0,0,17,47.5,CRITICO
201901,2019,1,PR,Londrina,111.8,15.3,22,0,0,0,14,35.0,CRITICO
201902,2019,2,PR,Curitiba,205.9,37.6,24,2,0,0,12,40.0,CRITICO
201902,2019,2,PR,Londrina,166.3,34.1,17,1,0,0,5,17.5,ALTO
201903,2019,3,PR,Curitiba,93.5,15.8,21,0,0,0,14,35.0,CRITICO
201903,2019,3,PR,Londrina,101.3,12.9,18,0,0,0,18,45.0,CRITICO
201904,2019,4,PR,Curitiba,83.9,20.0,12,0,0,0,5,12.5,ALTO
201904,2019,4,PR,Londrina,64.8,11.4,10,0,0,0,3,7.5,MODERADO
201905,2019,5,PR,Curitiba,228.9,49.5,18,3,0,0,4,25.0,CRITICO
201905,2019,5,PR,Londrina,68.7,27.1,10,0,0,0,4,10.0,ALTO
201906,2019,6,PR,Curitiba,96.1,33.1,5,1,0,0,3,12.5,ALTO
201906,2019,6,PR,Londrina,61.9,30.9,5,1,0,0,3,12.5,ALTO
